ciudad;alias
A Coruña;Coruña,LA CORUÑA
Alicante;ALACANT,ALICANTE CIUDAD,ALICANTE CIUDAD.,ALICANTE.,ALICANTEPROVINCIA,Alicante Ciudad,alicante
Altea;altea
Aranjuez;aranjuez
Ávila;AVILA
Barcelona;BARCELONA CIUDAD,BARCELONA.,BARCELONA PROVINCIA,BARCELONA(BARCELONA),Barcelona ciudad,barcelona
Benalmádena;BENALMADENA,BENALMADENA COSTA
Benidorm;benidorm
Bilbao;BILBAO (VIZCAYA)
Burgos;BURGOS ciudad
Castelló de la Plana;CASTELLON,CASTELLON DE LA PLANA
Ceuta;CEUTA.
Ciudad Real;CIUDAD REAL.
Córdoba;CORDOBA
Cuenca;CUENCA ciudad
Elche;ELCHE (ALICANTE)
Gijón;GIJON
Girona;GERONA
Granada;GRANADA ciudad
Guadalajara;GUADALAJARA ciudad
Huelva;HUELVA ciudad
Huesca;HUESCA ciudad
Jerez de la Frontera;JEREZ DE LA FRONTERA CADIZ,JEREZ FRONTERA
Las Palmas de Gran Canaria;LAS PALMAS,LAS PALMAS DE G.C.
Leganés;leganes
León;LEON CIUDAD
Lleida;LERIDA,LÉRIDA
Logroño;LOGROÑO (LA RIOJA)
Lugo;LUGO ciudad
Madrid;MADRID CAPITAL,MADRID CIUDAD,MADRID CENTRO,MADRID PAIS,Madrid,madrid
Málaga;MALAGA,MALAGA CIUDAD,Malaga
Marbella;MARBELLA (MALAGA)
Melilla;MELILLA.
Orihuela;ORIHUELA COSTA,orihuela
Ourense;ORENSE
Oviedo;OVIEDO CIUDAD
Palencia;PALENCIA CIUDAD
Palma;PALMA DE MALLORCA (BALEARES),Palma de Mallorca
Pamplona;PAMPLONA (NAVARRA)
Pontevedra;PONTEVEDRA ciudad
Salamanca;SALAMANCA ciudad
San Cristóbal de La Laguna;SAN CRISTOBAL DE LA LAGUNA,San Cristobal de la Laguna
San Sebastián;DONOSTIA,DONOSTIA-SAN SEBASTIAN
Santa Cruz de Tenerife;SANTA CRUZ DE TENERIFE.
Santander;SANTANDER ciudad
Santiago de Compostela;SANTIAGO DE COMPOSTELA.
Segovia;SEGOVIA CIUDAD
Sevilla;SEVILLA CIUDAD,SEVILLA ESTE,Sevilla
Soria;SORIA CIUDAD
Tarragona;TARRAGONA ciudad
Teruel;TERUEL ciudad
Toledo;TOLEDO ciudad
Torremolinos;torremolinos (malaga)
Torrevieja;TORREVIEJA (ALICANTE),torrevieja
Valencia;VALENCIA CIUDAD,VALENCIA CAPITAL,valencia
Valladolid;VALLADOLID ciudad
Vitoria-Gasteiz;VITORIA,VITORIA-GASTEIZ (ALAVA)
Zamora;ZAMORA ciudad
Zaragoza;ZARAGOZA CIUDAD,Zaragoza ciudad
