provincia;alias
A Coruña;A Coruna,Coruña,LA CORUÑA
Albacete;ALBACETE,Albecete
Alicante;ALICANTE,ALICANTES,Alacant,alicante provincia,Alicantes
Almería;ALMERIA
Asturias;ASTURIAS
Badajoz;BADAJOZ
Barcelona;BARCELONA,BARCELONA:,barcelona provincia
Bizkaia;Vizcaya
Burgos;BURGOS
Cádiz;CADIZ
Cantabria;CANTABRIA
Castellón;CASTELLON
Ceuta;CEUTA
Ciudad Real;CIUDAD REAL
Córdoba;CORDOBA
Gipuzkoa;Guipuzcoa
Girona;GERONA,GIRONA
Granada;GRANADA
Guadalajara;GUADALAJARA
Huelva;HUELVA
Huesca;HUESCA
Illes Balears;BALEARES,Islas Baleares,MALLORCA,Palma de Mallorca
Jaén;JAEN
La Rioja;LA RIOJA
Las Palmas;LAS PALMAS,Las Palmas de Gran Canaria
León;LEON
Lleida;LERIDA,LÉRIDA
Lugo;LUGO
Madrid;MADRID,MADRID MADRID,madrid provincia,Madrid, Comunidad de
Málaga;MALAGA,Malaga provincia
Murcia;MURCIA,murcia provincia
Navarra;NAVARRA
Ourense;ORENSE
Palencia;PALENCIA
Pontevedra;PONTEVEDRA
Salamanca;SALAMANCA
Santa Cruz de Tenerife;SANTA CRUZ DE TENERIFE,Santa Cruz Tenerife,Tenerife
Segovia;SEGOVIA
Sevilla;SEVILLA
Soria;SORIA
Tarragona;TARRAGONA
Teruel;TERUEL
Toledo;TOLEDO
Valencia;VALENCIA,valencia provincia
Valladolid;VALLADOLID
Zamora;ZAMORA
Zaragoza;ZARAGOZA
